OrderID,Date,Product,Category,Region,SalesRep,Quantity,UnitPrice,Discount,Revenue,Year,Month,MonthName,OrderValue
2809146,2023-05-25 13:08:34,Dress,Clothing,East,David Lee,15,194.26,0.27,2127.15,2023,5,May,2913.8999999999996
2052056,2023-09-16 05:26:04,Board Game,Toys,Central,James Wilson,16,71.29,0.06,1072.2,2023,9,September,1140.64
4872658,2022-05-19 16:08:01,Lego,Toys,Central,James Wilson,5,15.85,0.22,61.82,2022,5,May,79.25
1504434,2022-01-14 12:21:41,Couch,Furniture,West,James Wilson,18,80.07,0.17,1196.25,2022,1,January,1441.2599999999998
3832690,2023-09-19 23:05:28,Puzzle,Toys,North,Alice Brown,16,82.48,0.21,1042.55,2023,9,September,1319.68
33286,2022-03-22 14:04:23,Pants,Clothing,Central,Alice Brown,15,62.27,0.09,849.99,2022,3,March,934.0500000000001
441655,2022-01-08 05:43:44,Milk,Groceries,North,Maria Garcia,5,8.32,0.01,41.18,2022,1,January,41.6
3775131,2023-04-26 00:37:26,Jacket,Clothing,West,James Wilson,17,28.53,0.05,460.76,2023,4,April,485.01
1549860,2023-05-15 01:48:50,Pants,Clothing,Central,Alice Brown,8,148.68,0.01,1177.55,2023,5,May,1189.44
2842557,2023-04-04 16:25:17,Eggs,Groceries,East,Alice Brown,15,7.36,0.26,81.7,2023,4,April,110.4
3858995,2022-02-20 01:45:38,Textbook,Books,North,Alice Brown,8,47.64,0.28,274.41,2022,2,February,381.12
4755746,2023-07-09 17:16:17,Table,Furniture,East,James Wilson,16,291.47,0.2,3730.82,2023,7,July,4663.52
4831718,2023-08-28 16:33:11,Milk,Groceries,North,John Smith,17,17.46,0.16,249.33,2023,8,August,296.82
1041362,2022-08-04 20:15:19,Jacket,Clothing,North,David Lee,1,117.86,0.11,104.9,2022,8,August,117.86
2806007,2023-03-25 04:17:07,Monitor,Electronics,East,Alice Brown,14,871.77,0.07,11350.45,2023,3,March,12204.779999999999
4268901,2022-05-01 08:58:30,Laptop,Electronics,North,John Smith,5,446.28,0.07,2075.2,2022,5,May,2231.3999999999996
2324904,2022-02-13 22:55:44,Pants,Clothing,Central,James Wilson,8,100.72,0.17,668.78,2022,2,February,805.76
759709,2023-12-25 09:20:54,Dress,Clothing,West,James Wilson,12,158.67,0.01,1885.0,2023,12,December,1904.04
1585,2022-05-03 10:53:50,Magazine,Books,East,David Lee,9,7.26,0.07,60.77,2022,5,May,65.34
2655926,2022-02-12 00:15:42,Camera,Electronics,East,David Lee,2,956.37,0.16,1606.7,2022,2,February,1912.74
1335625,2023-03-26 04:58:37,Couch,Furniture,South,Alice Brown,6,852.22,0.07,4755.39,2023,3,March,5113.32
348142,2023-02-09 03:22:24,Apple,Groceries,East,Maria Garcia,5,2.66,0.11,11.84,2023,2,February,13.3
3637921,2023-12-17 15:12:51,Bookshelf,Furniture,West,David Lee,9,1276.65,0.26,8502.49,2023,12,December,11489.85
3638823,2023-10-09 05:49:44,Bread,Groceries,East,Maria Garcia,10,4.73,0.0,47.3,2023,10,October,47.300000000000004
1200677,2023-02-25 01:35:48,Bread,Groceries,West,Alice Brown,17,10.18,0.04,166.14,2023,2,February,173.06
979285,2022-11-14 23:56:57,Pants,Clothing,South,Maria Garcia,12,52.0,0.16,524.16,2022,11,November,624.0
3612511,2023-02-02 11:48:08,Bookshelf,Furniture,East,John Smith,7,1414.52,0.27,7228.2,2023,2,February,9901.64
1371178,2022-04-08 13:19:20,Comics,Books,Central,John Smith,5,49.64,0.25,186.15,2022,4,April,248.2
4304080,2022-03-20 18:43:35,Eggs,Groceries,South,Alice Brown,18,10.13,0.07,169.58,2022,3,March,182.34
1624512,2022-08-21 05:08:20,Apple,Groceries,South,Alice Brown,17,2.09,0.14,30.56,2022,8,August,35.53
346581,2022-10-11 02:20:03,Lego,Toys,West,John Smith,19,75.93,0.18,1182.99,2022,10,October,1442.67
922670,2022-10-01 00:02:46,Textbook,Books,South,John Smith,8,35.47,0.29,201.47,2022,10,October,283.76
3825270,2023-06-05 15:17:24,Board Game,Toys,South,Alice Brown,14,23.99,0.04,322.43,2023,6,June,335.85999999999996
2372118,2023-08-07 00:03:43,Textbook,Books,West,James Wilson,12,27.55,0.0,330.6,2023,8,August,330.6
4434202,2023-08-21 23:55:53,Couch,Furniture,South,David Lee,11,928.99,0.09,9299.19,2023,8,August,10218.89
277108,2023-11-13 02:43:58,Board Game,Toys,East,John Smith,11,40.57,0.15,379.33,2023,11,November,446.27
3379631,2023-04-07 00:00:44,Comics,Books,South,Alice Brown,11,46.02,0.04,485.97,2023,4,April,506.22
3672507,2022-01-10 15:09:05,Monitor,Electronics,North,John Smith,14,1495.99,0.25,15707.9,2022,1,January,20943.86
3751768,2022-03-14 17:15:18,Novel,Books,North,Maria Garcia,15,32.96,0.14,425.18,2022,3,March,494.40000000000003
922532,2022-08-18 08:13:51,Milk,Groceries,East,Maria Garcia,6,10.81,0.12,57.08,2022,8,August,64.86
3972083,2023-08-04 17:38:32,Action Figure,Toys,South,Maria Garcia,9,81.48,0.01,725.99,2023,8,August,733.32
2175131,2023-11-02 07:12:26,Bread,Groceries,East,John Smith,2,4.1,0.01,8.12,2023,11,November,8.2
2270755,2022-02-11 11:40:30,Apple,Groceries,North,Alice Brown,7,16.1,0.21,89.03,2022,2,February,112.70000000000002
2563813,2023-10-14 12:54:29,Headphones,Electronics,North,John Smith,18,1814.13,0.3,22858.04,2023,10,October,32654.340000000004
2005353,2022-05-15 19:27:38,Puzzle,Toys,Central,John Smith,10,93.27,0.27,680.87,2022,5,May,932.6999999999999
1297880,2023-10-01 07:29:35,Camera,Electronics,Central,David Lee,9,621.22,0.24,4249.14,2023,10,October,5590.9800000000005
1549426,2023-03-14 20:41:41,Lego,Toys,North,James Wilson,17,67.5,0.24,872.1,2023,3,March,1147.5
26556,2022-03-09 06:51:21,Magazine,Books,West,John Smith,10,35.5,0.08,326.6,2022,3,March,355.0
728263,2023-02-02 23:46:50,Puzzle,Toys,South,James Wilson,11,70.59,0.15,660.02,2023,2,February,776.49
3876838,2022-07-21 03:15:48,Action Figure,Toys,North,Alice Brown,19,21.0,0.22,311.22,2022,7,July,399.0
4072911,2022-08-31 14:43:07,Shirt,Clothing,North,Maria Garcia,17,123.54,0.21,1659.14,2022,8,August,2100.1800000000003
994083,2022-06-27 20:25:30,Shirt,Clothing,North,Alice Brown,19,116.14,0.29,1566.73,2022,6,June,2206.66
4488809,2022-12-12 22:37:57,Textbook,Books,South,John Smith,8,27.38,0.21,173.04,2022,12,December,219.04
117639,2022-10-09 00:40:13,Headphones,Electronics,West,David Lee,17,1260.16,0.1,19280.45,2022,10,October,21422.72
1109168,2022-05-12 20:00:49,Notebook,Books,North,Alice Brown,13,37.81,0.06,462.04,2022,5,May,491.53000000000003
2525894,2022-02-16 02:21:57,Eggs,Groceries,East,James Wilson,14,16.85,0.28,169.85,2022,2,February,235.90000000000003
4036386,2023-07-18 01:40:41,Chair,Furniture,South,John Smith,7,1109.04,0.11,6909.32,2023,7,July,7763.28
675351,2022-03-31 05:26:05,Puzzle,Toys,North,Maria Garcia,7,80.75,0.27,412.63,2022,3,March,565.25
3161534,2023-03-31 23:03:55,Comics,Books,West,Maria Garcia,2,49.52,0.01,98.05,2023,3,March,99.04
